Church Name,City,State,Size,Denomination
Calvary Revival Church,Norfolk,VA,8000,"Independent, Nondenominational"
Calvary Tabernacle,Indianapolis,IN,3000,United Pentecostal Church International
Calvary Temple,Indianapolis,IN,2100,United Pentecostal Church
Calvary Temple,Concord,CA,2150,Assemblies of God
Calvary Temple,Springfield,IL,2500,Assemblies of God
Calvary Temple,Winnipeg,MB,2000,"Independent, Nondenominational"
Calvary Tucson,Tucson,AZ,5000,"Independent, Nondenominational"
Calvary Worship Center,Colorado Springs,CO,2000,"Independent, Nondenominational"
Campus Church,Pensacola,FL,7000,CHRISTIAN
Campus Hill Church,Loma Linda,CA,2000,Seventh-day Adventist
Canaan Baptist Church of Christ,New York,NY,3000,Baptist (unspecified)
Canaan Christian Church,Louisville,KY,2500,Baptist (unspecified)
Canton Baptist Temple,Canton,OH,1800,Baptist (unspecified)
Canyon Hills Community Church,Bothell,WA,2100,"Independent, Nondenominational"
Canyon Ridge Christian Church,Las Vegas,NV,6500,CHRISTIAN
Canyon View Vineyard Church,Grand Junction,CO,4500,Vineyard
Cape First,Cape Girardeau,MO,2800,Assemblies of God
Capital Christian Center,Sacramento,CA,4150,Assemblies of God
Capital Christian Center,Meridian,ID,3000,"Independent, Nondenominational"
Capo Beach Calvary,Capistrano Beach,CA,2200,"Independent, Nondenominational"
Carmel Baptist Church,Matthews,NC,2647,Southern Baptist Convention
Casa del Rey,Alburquerque,NM,3100,Assemblies of God
Casas Church,Tucson,AZ,2100,Southern Baptist Convention
Cascade Community Church,Monroe,WA,2000,"Independent, Nondenominational"
Cascade Hills Church,Columbus,GA,4420,Southern Baptist Convention
Cascade United Methodist Church,Atlanta,GA,1800,United Methodist Church
Cathedral At Chapel Hill,Decatur,GA,2000,"Independent, Nondenominational"
Cathedral International,Perth Amboy,NJ,3000,Baptist (unspecified)
Cathedral of Faith,San Jose,CA,7800,"Independent, Nondenominational"
Cathedral of Hope,Dallas,TX,1800,United Church of Christ
Cathedral of Praise,Charleston,SC,2700,"Independent, Nondenominational"
Cathedral of Praise,Oklahoma City,OK,1800,Pentecostal (unspecified)
Cedar Creek Church,Aiken,SC,3000,"Independent, Nondenominational"
Cedar Mill Bible Church,Portland,OR,1900,"Independent, Nondenominational"
Cedar Ridge Community Church,Spencerville,MD,2000,Unknown (unspecified)
Cedar Springs Presbyterian Church,Knoxville,TN,2700,Evangelical Presbyterian Church
Cedar Valley Church,Bloomington,MN,2000,Assemblies of God
CedarCreek.tv,Perrysburg,OH,9155,"Independent, Nondenominational"
Celebrate Church,Sioux Falls,SD,3500,Unknown (unspecified)
Celebration Church,Columbia,MD,2500,"Church of God, Cleveland"
Celebration Church,Georgetown,TX,5000,"Independent, Nondenominational"
Celebration Church,Metairie,LA,3260,Southern Baptist Convention
Celebration Church,Jacksonville,FL,3745,Unknown (unspecified)
Celebration Church – Bayside,Green Bay,WI,4000,"Independent, Nondenominational"
Central Assembly of God Church,Springfield,MO,2468,Assemblies of God
Central Baptist Bearden,Knoxville,TN,2000,Southern Baptist Convention
Central Baptist Church,Marked Tree,AR,2300,Southern Baptist Convention
Central Baptist Church,Jonesboro,AR,2604,Southern Baptist Convention
Central Baptist Church,College Station,TX,3000,Southern Baptist Convention
Central Christian Church,Mesa,AZ,8786,CHRISTIAN
Central Christian Church,Henderson,NV,21055,CHRISTIAN
Central Christian Church,Mt Vernon,IL,1833,CHRISTIAN
Central Christian Church,Wichita,KS,3245,CHRISTIAN
Central Christian Church,Beloit,WI,1981,CHRISTIAN
Central Christian Church,Lancaster,CA,2200,"Independent, Nondenominational"
Central Church,Collierville,TN,2500,"Independent, Nondenominational"
Central Church of God,Charlotte,NC,6000,"Church of God, Cleveland"
Central Community Church,Wichita,KS,2100,"Church of God, Anderson"
Central Wesleyan Church,Holland,MI,3000,Wesleyan
Centre Street Church,Calgary,AB,7000,Evangelical
Centro Cristiano Ministries,Manson,WA,2000,"Independent, Nondenominational"
Champion Forest Baptist Church,Houston,TX,8000,Southern Baptist Convention
Champions Centre,Tacoma,WA,5500,"Independent, Nondenominational"
Chandler Christian Church,Chandler,AZ,2530,CHRISTIAN
ChangePoint,Anchorage,AK,3300,"Independent, Nondenominational"
Chapel Springs,Bristow,VA,2500,Assemblies of God
Chapelwood United Methodist Church,Houston,TX,2253,United Methodist Church
Chase Oaks Church,Plano,TX,5000,"Independent, Nondenominational"
Cherry Hills Community Church,Highlands Ranch,CO,6250,Evangelical Presbyterian Church
Chestnut Ridge Church,Morgantown,WV,2400,"Independent, Nondenominational"
Chicago Church of Christ,Elmhurst,IL,2500,International Church of Christ
Chodae Community Church,Norwood,NJ,2500,Korean Presbyterian Church
Christ Chapel,Woodbridge,VA,1862,Assemblies of God
Christ Chapel Bible Church,Fort Worth,TX,4500,"Independent, Nondenominational"
Christ Church,Nashville,TN,4500,"Independent, Nondenominational"
Christ Church,Rockaway,NJ,5000,"Independent, Nondenominational"
Christ Church,Fairview Heights,IL,2100,United Methodist Church
Christ Church of Oak Brook,Oak Brook,IL,2600,"Independent, Nondenominational"
Christ Church of Oronogo,Oronogo,MO,2506,CHRISTIAN
Christ Church Plano,Plano,TX,2500,Anglical
Christ Church United Methodist Church,Fort Lauderdale,FL,1800,United Methodist Church
Christ Community Chapel,Hudson,OH,4500,"Independent, Nondenominational"
Christ Community Church,Omaha,NE,4200,Christian & Missionary Alliance
Christ Community Church,Camp Hill,PA,2000,"Independent, Nondenominational"
Christ Community Church,Greeley,CO,2000,Evangelical Free
Christ Community Church,Tucson,AZ,2200,"Independent, Nondenominational"
Christ Community Church,Saint Charles,IL,4500,Unknown (unspecified)
Christ Covenant Church,Matthews,NC,1800,Presbyterian Church of America
Christ Emmanuel Christian Fellowship,Cincinnati,OH,2000,"Independent, Nondenominational"
Christ Episcopal Church,Ponte Vedra Beach,FL,2000,Episcopal
Christ Fellowship,McKinney,TX,2100,"Independent, Nondenominational"
Christ Fellowship,Palmetto Bay,FL,8098,Southern Baptist Convention
Christ Fellowship Church,Palm Beach Gardens,FL,25000,"Independent, Nondenominational"
Christ Gospel Church,Jeffersonville,IN,2500,"Independent, Nondenominational"
Christ Journey Church,Coral Gables,FL,2100,Baptist General Conference
Christ Life Center,Miami,FL,4000,Reformed Church in America
Christ Memorial Reformed Church,Holland,MI,2800,Reformed Church in America
Christ Presbyterian Church,Nashville,TN,2000,Presbyterian Church of America
Christ Tabernacle,Glendale,NY,4000,"Independent, Nondenominational"
Christ the King Community Church,Burlington,WA,17000,"Independent, Nondenominational"
Christ the Rock Community Church,Copper City,FL,2000,"Independent, Nondenominational"
Christ the Rock Community Church,Menasha,WI,3000,"Independent, Nondenominational"
Christ United Methodist Church,Plano,TX,1977,United Methodist Church
Christ United Methodist Church,Jackson,MS,1800,United Methodist Church
Christ United Methodist Church,Hickory,NC,2162,United Methodist Church
Christ United Methodist Church,Mobile,AL,2095,United Methodist Church
Christ Universal Temple,Chicago,IL,3200,"Independent, Nondenominational"
Christ’s Church,Jacksonville,FL,4904,CHRISTIAN
Christ’s Church At Mason,Mason,OH,2519,CHRISTIAN
Christ’s Church of the Valley,Peoria,AZ,23395,CHRISTIAN
Christ’s Church of the Valley,San Dimas,CA,4825,CHRISTIAN
Christian Assembly Foursquare Church,Eagle Rock,CA,2600,Four Square
Christian Chapel Temple of Faith,Dallas,TX,3500,Christian Methodist Episcopal
Christian Cultural Center,Brooklyn,NY,13000,"Independent, Nondenominational"
Christian Faith Center,Creedmoor,NC,5000,"Independent, Nondenominational"
Christian Faith Center,Seattle,WA,8000,"Independent, Nondenominational"
Christian Faith Fellowship,Milwaukee,WI,6000,Church of God in Christ
Christian Faith Fellowship Family Church,Middletown,NY,2500,"Independent, Nondenominational"
Christian Fellowship Church,Ashburn,VA,2000,"Independent, Nondenominational"
Christian Fellowship Church,Evansville,IN,3200,"Independent, Nondenominational"
Christian Heritage Church,Tallahassee,FL,3000,"Independent, Nondenominational"
Christian House of Prayer,Copperas Cove,TX,2500,"Independent, Nondenominational"
Christian Life Assembly,Camp Hill,PA,2900,Assemblies of God
Christian Life Center,Bensalem,PA,1900,Assemblies of God
Christian Life Center,Dayton,OH,2700,Assemblies of God
Christian Life Center,Stockton,CA,2600,United Pentecostal Church International
Christian Life Center,Fort Lauderdale,FL,3500,Assemblies of God
Christian Stronghold Baptist Church,Philadelphia,PA,2500,Baptist (unspecified)
Christian Tabernacle,Houston,TX,4000,Unknown (unspecified)
Christian Worship Center,Manteca,CA,2000,Assemblies of God
Church at Battle Creek,Broken Arrow,OK,2092,Southern Baptist Convention
Church at Charlotte,Charlotte,NC,2000,Evangelical Free
Church at Rock Creek,Little Rock,AR,2000,"Independent, Nondenominational"
Church at Sugar Creek,Sugar Land,TX,4500,Southern Baptist Convention
Church at the Springs,Ocala,FL,3000,Southern Baptist Convention
Church by the Glades,Coral Springs,FL,9000,Southern Baptist Convention
Church For All Nations,Tacoma,WA,2000,"Independent, Nondenominational"
Church For All Nations,Colorado Springs,CO,2000,Unknown (unspecified)
Church for the Nations,Phoenix,AZ,2400,"Independent, Nondenominational"
Church in the Son,Orlando,FL,2200,"Independent, Nondenominational"
Church of All Nations,Boca Raton,FL,2640,Assemblies of God
Church of Hope,Sarasota,FL,2237,Assemblies of God
Church of Living Water,Olympia,WA,2100,Four Square
Church of the Apostles,Atlanta,GA,2500,Anglical
Church of the Harvest,Oklahoma City,OK,2500,"Independent, Nondenominational"
Church of the Harvest,Los Angeles,CA,2000,Evangelical
Church of the Highlands,Birmingham,AL,60000,"Independent, Nondenominational"
Church of the Holy Cross,Sullivan's Island,SC,1800,Episcopal
Church of the King,Mandeville,LA,5000,Unknown (unspecified)
Church of the Larger Fellowship,Boston,MA,2500,UUA
Church of the Open Door,Elyria,OH,2500,"Independent, Nondenominational"
Church of the Open Door,Westminster,MD,2700,Baptist (unspecified)
Church of the Open Door,Maple Grove,MN,3500,Christian & Missionary Alliance
Church of the Redeemed of the Lord,Baltimore,MD,2500,Unknown (unspecified)
Church of the Redeemer,Gaithersburg,MD,9407,"Independent, Nondenominational"
Church of the Resurrection,Leawood,KS,8000,United Methodist Church
Church of the Rock,Winnipeg,MB,2500,"Independent, Nondenominational"
Church of the Saviour,Wayne,PA,2000,Unknown (unspecified)
Church of the Servant,Oklahoma City,OK,1992,United Methodist Church
Church on the Move,Tulsa,OK,7000,"Independent, Nondenominational"
Church on the Rock,Saint Peters,MO,4900,"Independent, Nondenominational"
Church Without Walls,Houston,TX,6411,Southern Baptist Convention
Cielo Vista Church,El Paso,TX,2000,"Independent, Nondenominational"
City Bible Church,Portland,OR,3500,"Independent, Nondenominational"
City of Grace,Mesa,AZ,4500,"Independent, Nondenominational"
City of Life Church,Kissimmee,FL,2000,"Independent, Nondenominational"
City of Refuge Church,Gardena,CA,6800,PENTE
Clear Creek Community Church,League City,TX,5000,Southern Baptist Convention
Cleveland Baptist Church,Cleveland,OH,2010,Southern Baptist Convention
Coast Hills Community Church,Aliso Viejo,CA,4000,"Independent, Nondenominational"
Cokesbury United Methodist Church,Knoxville,TN,2806,United Methodist Church
College Church,Wheaton,IL,2000,"Independent, Nondenominational"
College Church of the Nazarene,Olathe,KS,2174,Church of the Nazarene
College Heights Christian Church,Joplin,MO,1971,CHRISTIAN
College Park Church,Indianapolis,IN,3800,"Independent, Nondenominational"
College View Seventh Day Adventist Churc,Lincoln,NE,2200,Seventh-day Adventist
Collegedale Church,Collegedale,TN,2800,Seventh-day Adventist
Colonial Baptist Church,Cary,NC,3800,Baptist (unspecified)
Colonial Heights Baptist Church,Colonial Heights,VA,2125,Southern Baptist Convention
Colonial Hills Baptist Church,Southaven,MS,2000,Southern Baptist Convention
Colonial Presbyterian Church,Kansas City,MO,2200,Presbyterian Church of America
Colorado Community Church Aurora,Aurora,CO,2500,"Independent, Nondenominational"
Colorado Community Church Englewood,Englewood,CO,4500,"Independent, Nondenominational"
Columbus Avenue Baptist Church,Waco,TX,2500,Southern Baptist Convention
Columbus Christian Center Church,Columbus,OH,2500,"Independent, Nondenominational"
Community Bible Church,San Antonio,TX,14031,"Independent, Nondenominational"
Community Bible Church,Beaufort,SC,2000,"Independent, Nondenominational"
Community Bible Church,Stockbridge,GA,3200,"Independent, Nondenominational"
Community Christian Church,Ft. Lauderdale,FL,1971,CHRISTIAN
Community Christian Church,Naperville,IL,5325,CHRISTIAN
Community Christian Church,Tamarac,FL,1971,CHRISTIAN
Community Church of Joy,Glendale,AZ,2050,Lutheran (unspecified)
Community of Faith,Hockley,TX,6000,Unknown (unspecified)
Compass Christian Church,Colleyville,TX,3012,CHRISTIAN
CompassChurch,Salinas,CA,2400,ECO
Concord Baptist Church of Christ,Brooklyn,NY,2500,Baptist (unspecified)
Concord Church,Dallas,TX,3650,Baptist (unspecified)
Concord First Assembly,Concord,NC,3000,Assemblies of God
Concordia Lutheran Church,Fort Wayne,IN,1800,Lutheran (unspecified)
Concordia Lutheran Church,San Antonio,TX,3000,Lutheran (unspecified)
